name,icon,id,description,members,gp_value,lowalch,limit,highalch
Curry tree seed,https://oldschool.runescape.wiki/images/Curry_tree_seed_5.png,5286,Plant in a plantpot of soil to grow a sapling.,https://oldschool.runescape.wiki/images/Member_icon.png,39,15,200,23
Cyclops head,https://oldschool.runescape.wiki/images/Cyclops_head.png,19915,You'd expect this to interfere with your 3D vision.,https://oldschool.runescape.wiki/images/Member_icon.png,5000,2000,4,3000
Dagannoth bones,https://oldschool.runescape.wiki/images/Dagannoth_bones.png,6729,These would feed a dogfish for months!,https://oldschool.runescape.wiki/images/Member_icon.png,150,60,7500,90
Dagannoth hide,https://oldschool.runescape.wiki/images/Dagannoth_hide.png,6155,A sturdy piece of dagannoth hide.,https://oldschool.runescape.wiki/images/Member_icon.png,60,24,11000,36
Dagon'hai hat,https://oldschool.runescape.wiki/images/Dagon'hai_hat.png,24288,A hat worn by members of the Dagon'hai.,https://oldschool.runescape.wiki/images/Member_icon.png,17000,6800,0,10200
Dagon'hai robe bottom,https://oldschool.runescape.wiki/images/Dagon'hai_robe_bottom.png,24294,A robe worn by members of the Dagon'hai.,https://oldschool.runescape.wiki/images/Member_icon.png,90000,36000,0,54000
Dagon'hai robe top,https://oldschool.runescape.wiki/images/Dagon'hai_robe_top.png,24291,A robe worn by members of the Dagon'hai.,https://oldschool.runescape.wiki/images/Member_icon.png,140000,56000,0,84000
Dagon'hai robes set,https://oldschool.runescape.wiki/images/Dagon'hai_robes_set.png,24333,"A set containing a Dagon'hai hat, robe top and robe bottom.",https://oldschool.runescape.wiki/images/Member_icon.png,217000,86800,0,130200
Damaged monkey tail,https://oldschool.runescape.wiki/images/Damaged_monkey_tail.png,19665,"Smells like the north end of a southbound monkey, because it is.",https://oldschool.runescape.wiki/images/Member_icon.png,2,1,13000,1
Dareeyak teleport (tablet),https://oldschool.runescape.wiki/images/Dareeyak_teleport_(tablet).png,12777,"A teleport to Dareeyak, in level 23 Wilderness.",https://oldschool.runescape.wiki/images/Member_icon.png,1,1,10000,1
Dark bow,https://oldschool.runescape.wiki/images/Dark_bow.png,11235,A bow from a darker dimension.,https://oldschool.runescape.wiki/images/Member_icon.png,120002,48000,8,72001
Dark bow tie,https://oldschool.runescape.wiki/images/Dark_bow_tie.png,19970,Bow ties are cool.,https://oldschool.runescape.wiki/images/Member_icon.png,5000,2000,4,3000
Dark cavalier,https://oldschool.runescape.wiki/images/Dark_cavalier.png,2641,All for one and one for all!,https://oldschool.runescape.wiki/images/Member_icon.png,200,80,4,120
Dark crab,https://oldschool.runescape.wiki/images/Dark_crab.png,11936,This looks tricky to eat.,https://oldschool.runescape.wiki/images/Member_icon.png,320,128,10000,192
Dark fishing bait,https://oldschool.runescape.wiki/images/Dark_fishing_bait.png,11940,What on earth would eat this?,https://oldschool.runescape.wiki/images/Member_icon.png,3,1,8000,1
Dark infinity colour kit,https://oldschool.runescape.wiki/images/Dark_infinity_colour_kit.png,12528,Use on infinity pieces to recolour them!,https://oldschool.runescape.wiki/images/Member_icon.png,5000,2000,4,3000
Dark kebbit fur,https://oldschool.runescape.wiki/images/Dark_kebbit_fur.png,10115,"Sleek, silent and furry.",https://oldschool.runescape.wiki/images/Member_icon.png,210,84,10000,126
Dark trousers,https://oldschool.runescape.wiki/images/Dark_trousers.png,19964,Dark tuxedo trousers with white stockings.,https://oldschool.runescape.wiki/images/Member_icon.png,6000,2400,4,3600
Dark tuxedo cuffs,https://oldschool.runescape.wiki/images/Dark_tuxedo_cuffs.png,19961,Linked tuxedo cuffs with a dark trim.,https://oldschool.runescape.wiki/images/Member_icon.png,3000,1200,4,1800
Dark tuxedo jacket,https://oldschool.runescape.wiki/images/Dark_tuxedo_jacket.png,19958,A dark tuxedo jacket with a white shirt.,https://oldschool.runescape.wiki/images/Member_icon.png,10000,4000,4,6000
Dark tuxedo shoes,https://oldschool.runescape.wiki/images/Dark_tuxedo_shoes.png,19967,Dark shoes to match your dark tuxedo.,https://oldschool.runescape.wiki/images/Member_icon.png,3000,1200,4,1800
Dashing kebbit fur,https://oldschool.runescape.wiki/images/Dashing_kebbit_fur.png,10127,Nature's equivalent of go-faster stripes.,https://oldschool.runescape.wiki/images/Member_icon.png,270,108,10000,162
Death rune,https://oldschool.runescape.wiki/images/Death_rune.png,560,Used for medium level missile spells.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,180,72,25000,108
Death talisman,https://oldschool.runescape.wiki/images/Death_talisman.png,1456,A mysterious power emanates from the talisman...,https://oldschool.runescape.wiki/images/Member_icon.png,4,1,11000,2
Death tiara,https://oldschool.runescape.wiki/images/Death_tiara.png,5547,A tiara infused with the properties of death.,https://oldschool.runescape.wiki/images/Member_icon.png,100,40,40,60
Deerstalker,https://oldschool.runescape.wiki/images/Deerstalker.png,12540,Elementary!,https://oldschool.runescape.wiki/images/Member_icon.png,2300,920,4,1380
Defence mix(1),https://oldschool.runescape.wiki/images/Defence_mix(1).png,11459,One dose of fishy Defence potion.,https://oldschool.runescape.wiki/images/Member_icon.png,60,24,2000,36
Defence mix(2),https://oldschool.runescape.wiki/images/Defence_mix(2).png,11457,Two doses of fishy Defence potion.,https://oldschool.runescape.wiki/images/Member_icon.png,90,36,2000,54
Defence potion(1),https://oldschool.runescape.wiki/images/Defence_potion(1).png,137,1 dose of Defence potion.,https://oldschool.runescape.wiki/images/Member_icon.png,60,24,2000,36
Defence potion(2),https://oldschool.runescape.wiki/images/Defence_potion(2).png,135,2 doses of Defence potion.,https://oldschool.runescape.wiki/images/Member_icon.png,90,36,2000,54
Defence potion(3),https://oldschool.runescape.wiki/images/Defence_potion(3).png,133,3 doses of Defence potion.,https://oldschool.runescape.wiki/images/Member_icon.png,120,48,2000,72
Defence potion(4),https://oldschool.runescape.wiki/images/Defence_potion(4).png,2432,4 doses of Defence potion.,https://oldschool.runescape.wiki/images/Member_icon.png,150,60,2000,90
Demon feet,https://oldschool.runescape.wiki/images/Demon_feet.png,23294,Vicious demon slippers.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,1000,400,4,600
Desert boots,https://oldschool.runescape.wiki/images/Desert_boots.png,1837,Comfortable desert shoes.,https://oldschool.runescape.wiki/images/Member_icon.png,20,8,150,12
Desert camo legs,https://oldschool.runescape.wiki/images/Desert_camo_legs.png,10063,These should make me harder to spot in desert areas.,https://oldschool.runescape.wiki/images/Member_icon.png,20,8,150,12
Desert camo top,https://oldschool.runescape.wiki/images/Desert_camo_top.png,10061,This should make me harder to spot in desert areas.,https://oldschool.runescape.wiki/images/Member_icon.png,20,8,150,12
Desert devil fur,https://oldschool.runescape.wiki/images/Desert_devil_fur.png,10123,Sandy coloured kebbit fur.,https://oldschool.runescape.wiki/images/Member_icon.png,17,6,10000,10
Desert goat horn,https://oldschool.runescape.wiki/images/Desert_goat_horn.png,9735,Not much good for blowing.,https://oldschool.runescape.wiki/images/Member_icon.png,12,4,13000,7
Desert legs,https://oldschool.runescape.wiki/images/Desert_legs.png,6390,Better than factor 50 sun cream.,https://oldschool.runescape.wiki/images/Member_icon.png,25,10,150,15
Desert robe,https://oldschool.runescape.wiki/images/Desert_robe.png,1835,"A cool, light desert robe.",https://oldschool.runescape.wiki/images/Member_icon.png,40,16,150,24
Desert robes,https://oldschool.runescape.wiki/images/Desert_robes.png,6386,Has a coarse hard wearing texture.,https://oldschool.runescape.wiki/images/Member_icon.png,25,10,150,15
Desert shirt,https://oldschool.runescape.wiki/images/Desert_shirt.png,1833,"A cool, light desert shirt.",https://oldschool.runescape.wiki/images/Member_icon.png,40,16,150,24
Desert top,https://oldschool.runescape.wiki/images/Desert_top.png,6384,A bit itchy.,https://oldschool.runescape.wiki/images/Member_icon.png,15,6,150,9
Desert top (overcoat),https://oldschool.runescape.wiki/images/Desert_top_(overcoat).png,6388,Good for those cold desert nights.,https://oldschool.runescape.wiki/images/Member_icon.png,35,14,150,21
Devout boots,https://oldschool.runescape.wiki/images/Devout_boots.png,22954,A pair of Devout Boots.,https://oldschool.runescape.wiki/images/Member_icon.png,20000,8000,70,12000
Dexterous prayer scroll,https://oldschool.runescape.wiki/images/Dexterous_prayer_scroll.png,21034,Scrawled words that can invoke the power of the gods.,https://oldschool.runescape.wiki/images/Member_icon.png,80000,32000,5,48000
Dharok's armour set,https://oldschool.runescape.wiki/images/Dharok's_armour_set.png,12877,"A set containing a Dharok's helm, platelegs, platebody and greataxe.",https://oldschool.runescape.wiki/images/Member_icon.png,400000,160000,8,240000
Dharok's greataxe,https://oldschool.runescape.wiki/images/Dharok's_greataxe.png,4718,Dharok the Wretched's greataxe.,https://oldschool.runescape.wiki/images/Member_icon.png,208000,83200,15,124800
Dharok's greataxe 0,https://oldschool.runescape.wiki/images/Dharok's_greataxe_0.png,4890,Dharok the Wretched's greataxe.,https://oldschool.runescape.wiki/images/Member_icon.png,208000,83200,15,124800
Dharok's helm,https://oldschool.runescape.wiki/images/Dharok's_helm.png,4716,Dharok the Wretched's helm.,https://oldschool.runescape.wiki/images/Member_icon.png,103000,41200,15,61800
Dharok's helm 0,https://oldschool.runescape.wiki/images/Dharok's_helm_0.png,4884,Dharok the Wretched's helm.,https://oldschool.runescape.wiki/images/Member_icon.png,103000,41200,15,61800
Dharok's platebody,https://oldschool.runescape.wiki/images/Dharok's_platebody.png,4720,Dharok the Wretched's platebody armour.,https://oldschool.runescape.wiki/images/Member_icon.png,280000,112000,15,168000
Dharok's platebody 0,https://oldschool.runescape.wiki/images/Dharok's_platebody_0.png,4896,Dharok the Wretched's platebody armour.,https://oldschool.runescape.wiki/images/Member_icon.png,280000,112000,15,168000
Dharok's platelegs,https://oldschool.runescape.wiki/images/Dharok's_platelegs.png,4722,Dharok the Wretched's plate leg armour.,https://oldschool.runescape.wiki/images/Member_icon.png,275000,110000,15,165000
Dharok's platelegs 0,https://oldschool.runescape.wiki/images/Dharok's_platelegs_0.png,4902,Dharok the Wretched's plate leg armour.,https://oldschool.runescape.wiki/images/Member_icon.png,275000,110000,15,165000
Diamond,https://oldschool.runescape.wiki/images/Diamond.png,1601,This looks valuable.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,2000,800,11000,1200
Diamond amulet,https://oldschool.runescape.wiki/images/Diamond_amulet.png,1700,I wonder if I can get this enchanted.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3525,1410,10000,2115
Diamond amulet (u),https://oldschool.runescape.wiki/images/Diamond_amulet_(u).png,1681,It needs a string so I can wear it.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3525,1410,10000,2115
Diamond bolt tips,https://oldschool.runescape.wiki/images/Diamond_bolt_tips_5.png,9192,Diamond bolt tips.,https://oldschool.runescape.wiki/images/Member_icon.png,133,53,11000,79
Diamond bolts,https://oldschool.runescape.wiki/images/Diamond_bolts_5.png,9340,Diamond tipped Adamantite crossbow bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,192,76,11000,115
Diamond bolts (e),https://oldschool.runescape.wiki/images/Diamond_bolts_(e)_5.png,9243,Enchanted Diamond tipped Adamantite Crossbow Bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,211,84,11000,126
Diamond bracelet,https://oldschool.runescape.wiki/images/Diamond_bracelet.png,11092,I wonder if this is valuable.,https://oldschool.runescape.wiki/images/Member_icon.png,3825,1530,10000,2295
Diamond dragon bolts,https://oldschool.runescape.wiki/images/Diamond_dragon_bolts_5.png,21969,"Dragon crossbow bolts, tipped with diamond.",https://oldschool.runescape.wiki/images/Member_icon.png,850,340,11000,510
Diamond dragon bolts (e),https://oldschool.runescape.wiki/images/Diamond_dragon_bolts_(e)_5.png,21946,"Enchanted Dragon crossbow bolts, tipped with diamond.",https://oldschool.runescape.wiki/images/Member_icon.png,880,352,11000,528
Diamond necklace,https://oldschool.runescape.wiki/images/Diamond_necklace.png,1662,I wonder if this is valuable.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3675,1470,18000,2205
Diamond ring,https://oldschool.runescape.wiki/images/Diamond_ring.png,1643,A valuable ring.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,3525,1410,10000,2115
Digsite teleport,https://oldschool.runescape.wiki/images/Digsite_teleport.png,12403,Teleports you to the Digsite.,https://oldschool.runescape.wiki/images/Member_icon.png,10,4,10000,6
Dinh's bulwark,https://oldschool.runescape.wiki/images/Dinh's_bulwark.png,21015,Is it... looking at me?,https://oldschool.runescape.wiki/images/Member_icon.png,560000,224000,8,336000
Disk of returning,https://oldschool.runescape.wiki/images/Disk_of_returning.png,981,Used to get out of Thordur's blackhole.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,120,48,50,72
Divine bastion potion(1),https://oldschool.runescape.wiki/images/Divine_bastion_potion(1).png,24644,1 dose of divine bastion potion.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,2000,1
Divine bastion potion(2),https://oldschool.runescape.wiki/images/Divine_bastion_potion(2).png,24641,2 doses of divine bastion potion.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,2000,1
Divine bastion potion(3),https://oldschool.runescape.wiki/images/Divine_bastion_potion(3).png,24638,3 doses of divine bastion potion.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,2000,1
Divine bastion potion(4),https://oldschool.runescape.wiki/images/Divine_bastion_potion(4).png,24635,4 doses of divine bastion potion.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,2000,1
Divine battlemage potion(1),https://oldschool.runescape.wiki/images/Divine_battlemage_potion(1).png,24632,1 dose of divine battlemage potion.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,2000,1
Divine battlemage potion(2),https://oldschool.runescape.wiki/images/Divine_battlemage_potion(2).png,24629,2 doses of divine battlemage potion.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,2000,1
Divine battlemage potion(3),https://oldschool.runescape.wiki/images/Divine_battlemage_potion(3).png,24626,3 doses of divine battlemage potion.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,2000,1
Divine battlemage potion(4),https://oldschool.runescape.wiki/images/Divine_battlemage_potion(4).png,24623,4 doses of divine battlemage potion.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,2000,1
Divine magic potion(1),https://oldschool.runescape.wiki/images/Divine_magic_potion(1).png,23754,1 dose of divine magic potion.,https://oldschool.runescape.wiki/images/Member_icon.png,40,16,2000,24
Divine magic potion(2),https://oldschool.runescape.wiki/images/Divine_magic_potion(2).png,23751,2 doses of divine magic potion.,https://oldschool.runescape.wiki/images/Member_icon.png,90,36,2000,54
Divine magic potion(3),https://oldschool.runescape.wiki/images/Divine_magic_potion(3).png,23748,3 doses of divine magic potion.,https://oldschool.runescape.wiki/images/Member_icon.png,170,68,2000,102
Divine magic potion(4),https://oldschool.runescape.wiki/images/Divine_magic_potion(4).png,23745,4 doses of divine magic potion.,https://oldschool.runescape.wiki/images/Member_icon.png,250,100,2000,150
Divine ranging potion(1),https://oldschool.runescape.wiki/images/Divine_ranging_potion(1).png,23742,1 dose of divine ranging potion.,https://oldschool.runescape.wiki/images/Member_icon.png,40,16,2000,24
Divine ranging potion(2),https://oldschool.runescape.wiki/images/Divine_ranging_potion(2).png,23739,2 doses of divine ranging potion.,https://oldschool.runescape.wiki/images/Member_icon.png,90,36,2000,54
Divine ranging potion(3),https://oldschool.runescape.wiki/images/Divine_ranging_potion(3).png,23736,3 doses of divine ranging potion.,https://oldschool.runescape.wiki/images/Member_icon.png,170,68,2000,102
Divine ranging potion(4),https://oldschool.runescape.wiki/images/Divine_ranging_potion(4).png,23733,4 doses of divine ranging potion.,https://oldschool.runescape.wiki/images/Member_icon.png,250,100,2000,150
Divine super attack potion(1),https://oldschool.runescape.wiki/images/Divine_super_attack_potion(1).png,23706,1 dose of divine super attack potion.,https://oldschool.runescape.wiki/images/Member_icon.png,40,16,2000,24
Divine super attack potion(2),https://oldschool.runescape.wiki/images/Divine_super_attack_potion(2).png,23703,2 doses of divine super attack potion.,https://oldschool.runescape.wiki/images/Member_icon.png,90,36,2000,54
Divine super attack potion(3),https://oldschool.runescape.wiki/images/Divine_super_attack_potion(3).png,23700,3 doses of divine super attack potion.,https://oldschool.runescape.wiki/images/Member_icon.png,170,68,2000,102
Divine super attack potion(4),https://oldschool.runescape.wiki/images/Divine_super_attack_potion(4).png,23697,4 doses of divine super attack potion.,https://oldschool.runescape.wiki/images/Member_icon.png,250,100,2000,150
Divine super combat potion(1),https://oldschool.runescape.wiki/images/Divine_super_combat_potion(1).png,23694,1 dose of divine super combat potion.,https://oldschool.runescape.wiki/images/Member_icon.png,40,16,2000,24
Divine super combat potion(2),https://oldschool.runescape.wiki/images/Divine_super_combat_potion(2).png,23691,2 doses of divine super combat potion.,https://oldschool.runescape.wiki/images/Member_icon.png,90,36,2000,54
Divine super combat potion(3),https://oldschool.runescape.wiki/images/Divine_super_combat_potion(3).png,23688,3 doses of divine super combat potion.,https://oldschool.runescape.wiki/images/Member_icon.png,170,68,2000,102
Divine super combat potion(4),https://oldschool.runescape.wiki/images/Divine_super_combat_potion(4).png,23685,4 doses of divine super combat potion.,https://oldschool.runescape.wiki/images/Member_icon.png,250,100,2000,150
Divine super defence potion(1),https://oldschool.runescape.wiki/images/Divine_super_defence_potion(1).png,23730,1 dose of divine super defence potion.,https://oldschool.runescape.wiki/images/Member_icon.png,40,16,2000,24
Divine super defence potion(2),https://oldschool.runescape.wiki/images/Divine_super_defence_potion(2).png,23727,2 doses of divine super defence potion.,https://oldschool.runescape.wiki/images/Member_icon.png,90,36,2000,54
Divine super defence potion(3),https://oldschool.runescape.wiki/images/Divine_super_defence_potion(3).png,23724,3 doses of divine super defence potion.,https://oldschool.runescape.wiki/images/Member_icon.png,170,68,2000,102
Divine super defence potion(4),https://oldschool.runescape.wiki/images/Divine_super_defence_potion(4).png,23721,4 doses of divine super defence potion.,https://oldschool.runescape.wiki/images/Member_icon.png,250,100,2000,150
Divine super strength potion(1),https://oldschool.runescape.wiki/images/Divine_super_strength_potion(1).png,23718,1 dose of divine super strength potion.,https://oldschool.runescape.wiki/images/Member_icon.png,40,16,2000,24
Divine super strength potion(2),https://oldschool.runescape.wiki/images/Divine_super_strength_potion(2).png,23715,2 doses of divine super strength potion.,https://oldschool.runescape.wiki/images/Member_icon.png,90,36,2000,54
Divine super strength potion(3),https://oldschool.runescape.wiki/images/Divine_super_strength_potion(3).png,23712,3 doses of divine super strength potion.,https://oldschool.runescape.wiki/images/Member_icon.png,170,68,2000,102
Divine super strength potion(4),https://oldschool.runescape.wiki/images/Divine_super_strength_potion(4).png,23709,4 doses of divine super strength potion.,https://oldschool.runescape.wiki/images/Member_icon.png,250,100,2000,150
Dodgy necklace,https://oldschool.runescape.wiki/images/Dodgy_necklace.png,21143,Lets you get away with it - sometimes.,https://oldschool.runescape.wiki/images/Member_icon.png,1050,420,10000,630
Doogle leaves,https://oldschool.runescape.wiki/images/Doogle_leaves.png,1573,"A tasty herb, good for seasoning.",https://oldschool.runescape.wiki/images/Member_icon.png,2,1,15,1
Dorgeshuun crossbow,https://oldschool.runescape.wiki/images/Dorgeshuun_crossbow.png,8880,This fires crossbow bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,2000,800,70,1200
Double eye patch,https://oldschool.runescape.wiki/images/Double_eye_patch.png,19727,A black piece of cloth on a string.,https://oldschool.runescape.wiki/images/Member_icon.png,2,1,4,1
Draconic visage,https://oldschool.runescape.wiki/images/Draconic_visage.png,11286,It looks like this could be attached to a shield somehow.,https://oldschool.runescape.wiki/images/Member_icon.png,750000,300000,5,450000
Dragon 2h axe,https://oldschool.runescape.wiki/images/Dragon_2h_axe.png,28217,A woodcutter's axe.,https://oldschool.runescape.wiki/images/Free-to-play_icon.png,1,1,0,1
Dragon 2h sword,https://oldschool.runescape.wiki/images/Dragon_2h_sword.png,7158,A two-handed Dragon Sword.,https://oldschool.runescape.wiki/images/Member_icon.png,220000,88000,8,132000
Dragon armour set (lg),https://oldschool.runescape.wiki/images/Dragon_armour_set_(lg).png,21882,"A set containing a full helm, platebody, legs and kiteshield.",https://oldschool.runescape.wiki/images/Member_icon.png,500000,200000,8,300000
Dragon armour set (sk),https://oldschool.runescape.wiki/images/Dragon_armour_set_(sk).png,21885,"A set containing a full helm, platebody, skirt and kiteshield.",https://oldschool.runescape.wiki/images/Member_icon.png,500000,200000,8,300000
Dragon arrow,https://oldschool.runescape.wiki/images/Dragon_arrow_5.png,11212,An arrow made using a dragon's talon.,https://oldschool.runescape.wiki/images/Member_icon.png,800,320,11000,480
Dragon arrow(p),https://oldschool.runescape.wiki/images/Dragon_arrow(p)_5.png,11227,Venomous-looking arrows.,https://oldschool.runescape.wiki/images/Member_icon.png,800,320,11000,480
Dragon arrow(p+),https://oldschool.runescape.wiki/images/Dragon_arrow(p+)_5.png,11228,Venomous-looking arrows.,https://oldschool.runescape.wiki/images/Member_icon.png,800,320,11000,480
Dragon arrow(p++),https://oldschool.runescape.wiki/images/Dragon_arrow(p++)_5.png,11229,Venomous-looking arrows.,https://oldschool.runescape.wiki/images/Member_icon.png,800,320,11000,480
Dragon arrowtips,https://oldschool.runescape.wiki/images/Dragon_arrowtips.png,11237,"Dragon talons, usable as arrowheads.",https://oldschool.runescape.wiki/images/Member_icon.png,500,200,10000,300
Dragon axe,https://oldschool.runescape.wiki/images/Dragon_axe.png,6739,A very powerful axe.,https://oldschool.runescape.wiki/images/Member_icon.png,55000,22000,40,33000
Dragon battleaxe,https://oldschool.runescape.wiki/images/Dragon_battleaxe.png,1377,A vicious looking axe.,https://oldschool.runescape.wiki/images/Member_icon.png,200000,80000,70,120000
Dragon bitter,https://oldschool.runescape.wiki/images/Dragon_bitter.png,1911,A glass of bitter.,https://oldschool.runescape.wiki/images/Member_icon.png,2,1,2000,1
Dragon bitter (flatpack),https://oldschool.runescape.wiki/images/Dragon_bitter_(flatpack).png,8524,How does it all fit in there?,https://oldschool.runescape.wiki/images/Member_icon.png,10,4,500,6
Dragon bitter(4),https://oldschool.runescape.wiki/images/Dragon_bitter(4).png,5809,This keg contains 4 pints of Dragon Bitter.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,2000,1
Dragon bitter(m),https://oldschool.runescape.wiki/images/Dragon_bitter(m).png,5745,This looks a good deal stronger than normal Dragon Bitter.,https://oldschool.runescape.wiki/images/Member_icon.png,2,1,2000,1
Dragon bitter(m4),https://oldschool.runescape.wiki/images/Dragon_bitter(m4).png,5889,This keg contains 4 pints of mature Dragon Bitter.,https://oldschool.runescape.wiki/images/Member_icon.png,1,1,2000,1
Dragon bolts,https://oldschool.runescape.wiki/images/Dragon_bolts_5.png,21905,Dragon crossbow bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,425,170,11000,255
Dragon bolts (p),https://oldschool.runescape.wiki/images/Dragon_bolts_(p)_5.png,21924,Some poisoned dragon bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,430,172,11000,258
Dragon bolts (p+),https://oldschool.runescape.wiki/images/Dragon_bolts_(p+)_5.png,21926,Some poisoned dragon bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,435,174,11000,261
Dragon bolts (p++),https://oldschool.runescape.wiki/images/Dragon_bolts_(p++)_5.png,21928,Some poisoned dragon bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,440,176,11000,264
Dragon bolts (unf),https://oldschool.runescape.wiki/images/Dragon_bolts_(unf)_5.png,21930,Unfeathered dragon crossbow bolts.,https://oldschool.runescape.wiki/images/Member_icon.png,141,56,13000,84
Dragon bones,https://oldschool.runescape.wiki/images/Dragon_bones.png,536,These would feed a dog for months!,https://oldschool.runescape.wiki/images/Member_icon.png,160,64,7500,96
Dragon boots,https://oldschool.runescape.wiki/images/Dragon_boots.png,11840,These will protect my feet.,https://oldschool.runescape.wiki/images/Member_icon.png,20000,8000,70,12000
Dragon boots ornament kit,https://oldschool.runescape.wiki/images/Dragon_boots_ornament_kit.png,22231,Use on some dragon boots to make them look fancier!,https://oldschool.runescape.wiki/images/Member_icon.png,5000,2000,4,3000
Dragon cane,https://oldschool.runescape.wiki/images/Dragon_cane.png,12373,An onyx topped cane.,https://oldschool.runescape.wiki/images/Member_icon.png,30000,12000,4,18000
Dragon chainbody,https://oldschool.runescape.wiki/images/Dragon_chainbody.png,3140,A series of connected metal rings.,https://oldschool.runescape.wiki/images/Member_icon.png,250000,100000,70,150000
Dragon chainbody ornament kit,https://oldschool.runescape.wiki/images/Dragon_chainbody_ornament_kit.png,12534,Use on a dragon chainbody to make it look fancier!,https://oldschool.runescape.wiki/images/Member_icon.png,5000,2000,4,3000
Dragon claws,https://oldschool.runescape.wiki/images/Dragon_claws.png,13652,A set of fighting claws.,https://oldschool.runescape.wiki/images/Member_icon.png,205000,82000,8,123000
Dragon crossbow,https://oldschool.runescape.wiki/images/Dragon_crossbow.png,21902,A dragon crossbow.,https://oldschool.runescape.wiki/images/Member_icon.png,54000,21600,70,32400
Dragon crossbow (u),https://oldschool.runescape.wiki/images/Dragon_crossbow_(u).png,21921,An unstrung dragon crossbow.,https://oldschool.runescape.wiki/images/Member_icon.png,30000,12000,10000,18000
Dragon dagger,https://oldschool.runescape.wiki/images/Dragon_dagger.png,1215,A powerful dagger.,https://oldschool.runescape.wiki/images/Member_icon.png,30000,12000,70,18000
Dragon dagger(p),https://oldschool.runescape.wiki/images/Dragon_dagger(p).png,1231,A powerful dagger.,https://oldschool.runescape.wiki/images/Member_icon.png,24000,9600,70,14400
Dragon dagger(p+),https://oldschool.runescape.wiki/images/Dragon_dagger(p+).png,5680,A powerful dagger.,https://oldschool.runescape.wiki/images/Member_icon.png,24000,9600,70,14400
Dragon dagger(p++),https://oldschool.runescape.wiki/images/Dragon_dagger(p++).png,5698,A powerful dagger.,https://oldschool.runescape.wiki/images/Member_icon.png,24000,9600,70,14400
Dragon dart,https://oldschool.runescape.wiki/images/Dragon_dart.png,11230,A deadly throwing dart with a dragon tip.,https://oldschool.runescape.wiki/images/Member_icon.png,500,200,11000,300
Dragon dart tip,https://oldschool.runescape.wiki/images/Dragon_dart_tip.png,11232,A deadly looking dragon dart tip - needs feathers for flight.,https://oldschool.runescape.wiki/images/Member_icon.png,250,100,11000,150
Dragon dart(p),https://oldschool.runescape.wiki/images/Dragon_dart(p).png,11231,A deadly poisoned dart with a dragon tip.,https://oldschool.runescape.wiki/images/Member_icon.png,500,200,11000,300
Dragon dart(p+),https://oldschool.runescape.wiki/images/Dragon_dart(p+).png,11233,A deadly poisoned dart with a dragon tip.,https://oldschool.runescape.wiki/images/Member_icon.png,500,200,11000,300
Dragon dart(p++),https://oldschool.runescape.wiki/images/Dragon_dart(p++).png,11234,A deadly poisoned dart with a dragon tip.,https://oldschool.runescape.wiki/images/Member_icon.png,500,200,11000,300
Dragon defender ornament kit,https://oldschool.runescape.wiki/images/Dragon_defender_ornament_kit.png,20143,Use on the dragon defender to trim it with gold.,https://oldschool.runescape.wiki/images/Member_icon.png,5000,2000,4,3000
Dragon full helm,https://oldschool.runescape.wiki/images/Dragon_full_helm.png,11335,Protects your head and looks impressive too.,https://oldschool.runescape.wiki/images/Member_icon.png,150000,60000,8,90000
Dragon full helm ornament kit,https://oldschool.runescape.wiki/images/Dragon_full_helm_ornament_kit.png,12538,Use on a dragon full helm to make it look fancier!,https://oldschool.runescape.wiki/images/Member_icon.png,5000,2000,4,3000
Dragon halberd,https://oldschool.runescape.wiki/images/Dragon_halberd.png,3204,A dragon halberd.,https://oldschool.runescape.wiki/images/Member_icon.png,250000,100000,70,150000
Dragon harpoon,https://oldschool.runescape.wiki/images/Dragon_harpoon.png,21028,A very powerful harpoon.,https://oldschool.runescape.wiki/images/Member_icon.png,55000,22000,5,33000
